"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";"SUPPLIER";
"R14";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R15";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R16";"5k6";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R17";"15k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R18";"2k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R19";"18k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R20";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R21";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R22";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R23";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R24";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R25";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R26";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R27";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R28";"15k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R29";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R30";"470k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R32";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R33";"2M2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R34";"2M2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R35";"15k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R36";"120k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R37";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"REG1";"LM78L.";"LM78L.";"TO92";"TO-92 Type, 100mA";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"SW_1";"";"DPDT.LUGS";"DPDT.LUGS";"DPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TIME";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TC1044SCPA";"TC1044SCPA";"DIP254P762X508-8";"IC CHRG PUMP INV ADJ 20MA";"";"";"";"";"";"";"TC1044SCPA";"1196840";"92C5563";"8 - DIP";"";"";"Microchip";
"WET_KILL_A";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"WET_KILL_B";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
